"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1442","HOLE U1442A","28.4096","28.4096","142.6223","142.6223","SAQ","-3162","-3162","s_352-U1442-A-49-R-1-W 52/57 [24570]","BONINITE [24570]","","","","","","","","","VOL","442.65","442.65","","","WR [24570] ","54.09","0.33","","17.1","","","","7.24","9.33","9.32","0.07","","0.14","2.34","0.039","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173","","","1174","","29.94","2009","162","170","","","34.2","48.4","","","","","","","","1.3","183.4","8","29.9","0.48","","","","","","","","","","","","","8.7","0.952","2.762","0.471","2.577","0.776","0.283","0.968","0.171","1.135","0.247","0.765","0.117","0.797","0.123","0.799","","","","","","","","","","0.983","","0.063","0.136","","","","","","","","","","","","","","","","","","","","","","","","","1979851",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1442","HOLE U1442A","28.4096","28.4096","142.6223","142.6223","SAQ","-3162","-3162","s_352-U1442-A-49-R-3-W 0/5 [24570]","BONINITE [24570]","","","","","","","","","VOL","444.37","444.37","","","WR [24570] ","57.92","0.27","","15.06","","","","7.18","8.44","8.51","0.12","","0.386","2.08","0.039","","","","","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171","","","3226","","25.31","1658","134","148","","","40.2","73.7","","","","","","","","4.7","163.9","5.9","24.2","0.43","","","","","","","","","","","","","17.5","0.642","1.795","0.295","1.606","0.499","0.185","0.642","0.12","0.811","0.183","0.57","0.088","0.604","0.094","0.631","","","","","","","","","","0.84","","0.045","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1979852",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1442","HOLE U1442A","28.4096","28.4096","142.6223","142.6223","SAQ","-3162","-3162","s_352-U1442A-57R-1-W 84/88 [24570]","BONINITE [24570]","","","","","","","","","VOL","520.96","520.96","","","WR [24570] ","53.88","0.26","","19.34","","","","5.55","8.69","9.31","0.04","","0.15","2.74","0.04","","","","","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168","","","1266","","","1580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.755","0.283","0.89","0.153","0.955","0.201","0.599","0.088","0.579","0.086","0.771","1.287","","","","","","","","","","0.077","","0.159","","","","","","","","","","","","","","","","","","","","","","","","","","1979857",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439A","28.4075","28.4075","142.6085","142.6085","SAQ","-3128","-3128","s_352-U1439A-21X-1-W 0/7 [24570]","BONINITE [24570]","","","","","","","","","VOL","182.5","182.5","","","WR [24570] ","56","0.15","","10.3","","","","8.04","6.76","16.63","0.15","","0.63","1.29","0.04","","","","","","","","","","","","","","","","3.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979858",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439A","28.4075","28.4075","142.6085","142.6085","SAQ","-3128","-3128","s_352-U1439A-23X-1-W 0/3 [24570]","BONINITE [24570]","","","","","","","","","VOL","196.2","196.2","","","WR [24570] ","55.83","0.16","","9.87","","","","8.11","6.67","17.21","0.15","","0.69","1.29","0","2.62","","","","0.2","","","","","","","","","","","2.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979859",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-2R-3-W 38/46 [24570]","BONINITE [24570]","","","","","","","","","VOL","185.13","185.13","","","WR [24570] ","55.75","0.16","","10.31","","","","7.95","6.86","16.82","0.15","","0.57","1.38","0.04","0.51","","","","0.08","","","","","","","","","","","2.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979861",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-3R-2-W 4/10 [24570]","BONINITE [24570]","","","","","","","","","VOL","193.2","193.2","","","WR [24570] ","57.14","0.27","","13.58","","","","6.54","10.03","7.32","0.09","","1.85","3.13","0.05","5.44","","","","3.67","","","","","","","","","","","13.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979862",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-6R-1-W 25/30 [24570]","BONINITE [24570]","","","","","","","","","VOL","221.45","221.45","","","WR [24570] ","60","0.19","","12.59","","","","7.3","7.74","9.21","0.13","","0.58","2.22","0.05","","","","","0.3","","","","","","","","","","","3.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979865",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-7R-2-W 59/61 [24570]","BONINITE [24570]","","","","","","","","","VOL","233.09","233.09","","","WR [24570] ","61.44","0.24","","14.14","","","","6.81","6.9","6.5","0.12","","1.06","2.73","0.05","","","","","0.08","","","","","","","","","","","6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979866",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-10R-2-W 13/19 [24570]","BONINITE [24570]","","","","","","","","","VOL","262.03","262.03","","","WR [24570] ","51.56","0.39","","13.49","","","","8.77","9.59","12.73","0.14","","0.92","2.28","0.13","4.12","","","","0.09","","","","","","","","","","","8.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979868",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-13R-2-W 32/38 [24570]","BONINITE [24570]","","","","","","","","","VOL","281.91","281.91","","","WR [24570] ","52.46","0.44","","15.48","","","","7.74","9.33","10.5","0.11","","1.37","2.35","0.22","5.26","","","","0.22","","","","","","","","","","","8.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979870",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-15R-1-W 129/134 [24570]","BONINITE [24570]","","","","","","","","","VOL","291.09","291.09","","","WR [24570] ","53.99","0.3","","12","","","","7.54","8.3","14.54","0.13","","0.86","2.3","0.04","","","","","0.75","","","","","","","","","","","6.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979871",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-18R-2-W 105/111 [24570]","BONINITE [24570]","","","","","","","","","VOL","321.48","321.48","","","WR [24570] ","54.22","0.32","","12.92","","","","7.58","7.26","13.94","0.13","","1.19","2.4","0.05","6.76","","","","0.15","","","","","","","","","","","9.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979873",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-19R-3-W 58/62 [24570]","BONINITE [24570]","","","","","","","","","VOL","332.22","332.22","","","WR [24570] ","53.4","0.31","","12.2","","","","7.65","9.3","14.06","0.13","","0.7","2.17","0.06","4.08","","","","1.15","","","","","","","","","","","7.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979874",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-20R-2-W 53/60 [24570]","BONINITE [24570]","","","","","","","","","VOL","340.46","340.46","","","WR [24570] ","54.34","0.33","","12.41","","","","7.7","10.37","12.06","0.13","","0.68","1.92","0.05","7.42","","","","1.51","","","","","","","","","","","12.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979876",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-22R-1-W 89/95 [24570]","BONINITE [24570]","","","","","","","","","VOL","349.19","349.19","","","WR [24570] ","53.49","0.32","","11.77","","","","7.94","8.38","15.14","0.13","","0.72","2.06","0.05","5.34","","","","0.31","","","","","","","","","","","7.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979877",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-23R-1-W 42/48 [24570]","BONINITE [24570]","","","","","","","","","VOL","358.52","358.52","","","WR [24570] ","53.54","0.36","","13.3","","","","8.43","8.25","12.36","0.13","","1.03","2.55","0.05","7.03","","","","0.09","","","","","","","","","","","11.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979878",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-23R-2-W 21/26 [24570]","BONINITE [24570]","","","","","","","","","VOL","359.46","359.46","","","WR [24570] ","52.84","0.34","","12.36","","","","8.34","8.08","15.44","0.11","","0.34","2.07","0.08","7.8","","","","0.33","","","","","","","","","","","9.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979879",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-26R-1-W 132/137 [24570]","BONINITE [24570]","","","","","","","","","VOL","388.62","388.62","","","WR [24570] ","51.24","0.29","","10.55","","","","8.64","11.01","15.77","0.12","","0.37","1.95","0.07","8.07","","","","2.38","","","","","","","","","","","11.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979880",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-26R-3-W 64/66 [24570]","BONINITE [24570]","","","","","","","","","VOL","390.66","390.66","","","WR [24570] ","50.56","0.51","","13.48","","","","8.64","13.77","8.29","0.15","","1.47","2.96","0.18","5.15","","","","2.23","","","","","","","","","","","9.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979881",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-27R-1-W 14/19 [24570]","BONINITE [24570]","","","","","","","","","VOL","397.14","397.14","","","WR [24570] ","46.79","0.28","","13.11","","","","7.3","19.24","8.74","0.16","","1.4","2.87","0.11","5.57","","","","6.42","","","","","","","","","","","16.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979882",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-27R-3-W 80/87 [24570]","BONINITE [24570]","","","","","","","","","VOL","400.47","400.47","","","WR [24570] ","51.97","0.23","","11.49","","","","7.28","11.19","15.48","0.12","","0.36","1.82","0.05","5.12","","","","2.79","","","","","","","","","","","11.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979883",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-28R-2-W 66/71 [24570]","BONINITE [24570]","","","","","","","","","VOL","408.91","408.91","","","WR [24570] ","52.47","0.24","","11.73","","","","7.59","8.24","17.29","0.12","","0.37","1.9","0.06","8.77","","","","1.44","","","","","","","","","","","13.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979884",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-29R-4-W 78/82 [24570]","BONINITE [24570]","","","","","","","","","VOL","421.29","421.29","","","WR [24570] ","51.19","0.22","","10.82","","","","8.16","6.88","20.89","0.22","","0.18","1.39","0.05","8.69","","","","0.68","","","","","","","","","","","12.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979886",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-31R-5-W 12/17 [24570]","BONINITE [24570]","","","","","","","","","VOL","441.8","441.8","","","WR [24570] ","52.71","0.3","","11.43","","","","8.78","10.97","12.93","0.14","","0.62","2.04","0.07","3.83","","","","0.76","","","","","","","","","","","7.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979888",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-32R-1-W 92/98 [24570]","BONINITE [24570]","","","","","","","","","VOL","446.72","446.72","","","WR [24570] ","51.9","0.22","","11.08","","","","7.87","8.99","17.2","0.13","","0.57","1.98","0.05","5.99","","","","1.52","","","","","","","","","","","14.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979889",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-32R-2-W 31/36 [24570]","BONINITE [24570]","","","","","","","","","VOL","447.55","447.55","","","WR [24570] ","51.94","0.23","","11.54","","","","7.53","10.29","16.05","0.16","","0.39","1.83","0.05","5.28","","","","1.64","","","","","","","","","","","13.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979890",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-33R-2-W 23/30 [24570]","BONINITE [24570]","","","","","","","","","VOL","457.17","457.17","","","WR [24570] ","53.62","0.25","","12.72","","","","7.14","9","14.93","0.12","","0.14","2.03","0.05","5.55","","","","0.38","","","","","","","","","","","11.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979892",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-35R-3-W 25/30 [24570]","BONINITE [24570]","","","","","","","","","VOL","468.36","468.36","","","WR [24570] ","51.07","0.23","","11.74","","","","6.78","11.2","16.09","0.13","","0.54","2.16","0.06","3.93","","","","2.52","","","","","","","","","","","11.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979893",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-35R-3-W 25/30 [24570]","BONINITE [24570]","","","","","","","","","VOL","468.36","468.36","","","WR [24570] ","52.81","0.26","","13.08","","","","7.5","9.5","13.14","0.15","","0.72","2.77","0.05","6.48","","","","1.46","","","","","","","","","","","9.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979894",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-35R-4-W 112/116 [24570]","BONINITE [24570]","","","","","","","","","VOL","470.62","470.62","","","WR [24570] ","53.95","0.26","","12.96","","","","7.17","8.86","13.59","0.15","","0.59","2.43","0.05","4.88","","","","0.81","","","","","","","","","","","9.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979895",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-39R-3-W 61/66 [24570]","BONINITE [24570]","","","","","","","","","VOL","507.81","507.81","","","WR [24570] ","52.55","0.41","","17.99","","","","6.87","9.51","9.74","0.16","","0.54","2.18","0.06","3.52","","","","0.21","","","","","","","","","","","6.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979898",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-40R-1-W 33/38 [24570]","BONINITE [24570]","","","","","","","","","VOL","509.43","509.43","","","WR [24570] ","53.89","0.37","","16.31","","","","7.42","7.31","10.44","0.15","","1.47","2.58","0.07","5.39","","","","0.29","","","","","","","","","","","8.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979899",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-40R-3-W 29/35 [24570]","BONINITE [24570]","","","","","","","","","VOL","511.91","511.91","","","WR [24570] ","53.26","0.38","","17.07","","","","7.01","9.58","9.6","0.11","","0.69","2.24","0.06","3.48","","","","0.23","","","","","","","","","","","5.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979900",
"[24570]","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE U1439","HOLE U1439C","28.4075","28.4075","142.609","142.609","SAE","-3129","-3129","s_352-U1439C-44R-1-W 15/22 [24570]","BONINITE [24570]","","","","","","","","","VOL","533.65","533.65","","","WR [24570] ","55.77","0.43","","15.88","","","","7.75","6.25","10.9","0.11","","0.31","2.53","0.06","4.42","","","","0.14","","","","","","","","","","","7.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979903",
